feature,importance
digital_engagement_score,0.4403946286361545
rep_visits_per_quarter,0.28375612838741415
formulary_access_pct,0.15205882810443402
peer_influence_score,0.07824619613249051
panel_size,0.018225585460525346
years_experience,0.014368046202115422
specialty_Neurology,0.004664597821021768
region_West,0.0019489492292669361
region_Southeast,0.0016584949613313812
specialty_Pulmonology,0.0011062138073086312
region_Midwest,0.0008084426861109385
region_Northeast,0.0007549446630914897
specialty_Endocrinology,0.0007263648467104796
specialty_Cardiology,0.0005870179850159489
region_Southwest,0.00041917679226912904
specialty_Primary Care,0.0002763842847393523
